system:index,bottom,id,left,mean_doubl,right,top,.geo
0000000000000000005b,-19.726768996000068,58866,-42.499290993,3.614,-42.498394993000005,-19.725872996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.499290833960785,-19.72676876363766],[-42.49839454489347,-19.726768764587813],[-42.49839454489347,-19.725872467642464],[-42.49929083396078,-19.72587247572821],[-42.499290833960785,-19.72676876363766]]]}"
00000000000000000047,-19.647024996000074,30385,-42.569178993,5.3723,-42.568282993,-19.64612899600007,"{""type"":""Polygon"",""coordinates"":[[[-42.56917829990452,-19.64702664240534],[-42.56828201456423,-19.647026681090036],[-42.56828201456423,-19.64613041607014],[-42.56917829990453,-19.646130386448338],[-42.56917829990452,-19.64702664240534]]]}"
00000000000000000043,-19.793072996000067,45472,-42.532442993,8.5724,-42.531546993000006,-19.792176996000062,"{""type"":""Polygon"",""coordinates"":[[[-42.532444216122265,-19.793071169580575],[-42.53154797221841,-19.793071133897644],[-42.53154797221841,-19.7921748756231],[-42.53244421612226,-19.792174847467475],[-42.532444216122265,-19.793071169580575]]]}"
00000000000000000016,-19.68644899600007,31885,-42.565594993,6.1017,-42.564698993,-19.68555299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.565593215526334,-19.68644952583057],[-42.56469694324981,-19.68644955186271],[-42.564696943249814,-19.685553260251897],[-42.56559321552633,-19.68555331609934],[-42.565593215526334,-19.68644952583057]]]}"
00000000000000000023,-19.733040996000067,31937,-42.565594993,4.9926,-42.564698993,-19.732144996000066,"{""type"":""Polygon"",""coordinates"":[[[-42.56559321552633,-19.733042740530365],[-42.56469694324981,-19.733042727564502],[-42.564696943249814,-19.73214642272833],[-42.56559321552633,-19.73214644474878],[-42.56559321552633,-19.733042740530365]]]}"
00000000000000000011,-19.75544099600007,3570,-42.635482993,2.6048,-42.634586993000006,-19.754544996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.63548514704939,-19.75544077988481],[-42.634588884400024,-19.755440746712722],[-42.634588884400024,-19.754544490441063],[-42.63548514704939,-19.754544532685625],[-42.63548514704939,-19.75544077988481]]]}"
00000000000000000055,-19.498288996000067,46599,-42.528858993,8.4204,-42.527962993,-19.49739299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.52885914810586,-19.498288840919773],[-42.527962842602086,-19.498288862081214],[-42.527962842602086,-19.49739256927498],[-42.52885914810585,-19.497392629975298],[-42.52885914810586,-19.498288840919773]]]}"
00000000000000000065,-19.790384996000068,18533,-42.598746993,1.8869,-42.597850993,-19.789488996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.598746608653954,-19.790386769584345],[-42.59785030950481,-19.790386726687924],[-42.59785030950481,-19.7894904911139],[-42.598746608653954,-19.789490470246815],[-42.598746608653954,-19.790386769584345]]]}"
0000000000000000002f,-19.739312996000066,61792,-42.492122993,2.7104,-42.491226993000005,-19.73841699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.4921250339516,-19.739312214302522],[-42.491228771772256,-19.739312174402446],[-42.491228771772256,-19.73841590859149],[-42.492125033951595,-19.73841595752359],[-42.4921250339516,-19.739312214302522]]]}"
00000000000000000002,-19.772464996000068,33437,-42.562010993,7.8942,-42.561114993,-19.771568996000067,"{""type"":""Polygon"",""coordinates"":[[[-42.56201252146175,-19.772465605369863],[-42.561116262342615,-19.772465651950586],[-42.561116262342615,-19.7715693237473],[-42.56201252146175,-19.771569359064724],[-42.56201252146175,-19.772465605369863]]]}"
00000000000000000029,-19.78500899600007,5059,-42.631898993,5.5664,-42.631002993,-19.78411299600007,"{""type"":""Polygon"",""coordinates"":[[[-42.63190000352963,-19.785009101459302],[-42.631003753627134,-19.785009101822048],[-42.63100375362714,-19.784112782663257],[-42.63190000352962,-19.78411279137002],[-42.63190000352963,-19.785009101459302]]]}"
0000000000000000000e,-19.721392996000066,48304,-42.525274993,2.6154,-42.524378993000006,-19.72049699600007,"{""type"":""Polygon"",""coordinates"":[[[-42.52527398338769,-19.721391117199463],[-42.52437769113768,-19.72139108730243],[-42.52437769113768,-19.720494779157356],[-42.525273983387684,-19.720494818098363],[-42.52527398338769,-19.721391117199463]]]}"
